GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cellbase-app,org.opencb.cellbase.app.transform.variation,VariationFile,5,24,1,1,1,5,1,2,0,2
cellbase-app,org.opencb.cellbase.app.transform.variation,VariationParser.new Object() {...},3,23,0,0,0,1,0,1,0,1
cellbase-app,org.opencb.cellbase.app.transform.variation,VariationParser,321,1365,99,144,52,240,90,56,1,23
cellbase-app,org.opencb.cellbase.app.transform.variation,VariationFeatureFile,0,7,0,0,0,2,0,1,0,1
cellbase-app,org.opencb.cellbase.app.transform.variation,VariationTranscriptFile,6,221,1,5,1,50,1,7,0,5
cellbase-app,org.opencb.cellbase.app.transform.variation,VariationSynonymFile,0,7,0,0,0,2,0,1,0,1
cellbase-app,org.opencb.cellbase.app.transform.variation,AbstractVariationFile,84,445,19,29,10,80,17,27,0,20
cellbase-app,org.opencb.cellbase.app.transform,GenomeSequenceFastaParser,329,0,30,0,60,0,18,0,3,0
cellbase-app,org.opencb.cellbase.app.transform,DrugParser,11,0,0,0,4,0,1,0,1,0
cellbase-app,org.opencb.cellbase.app.transform,CaddScoreParser,381,0,16,0,82,0,10,0,2,0
cellbase-app,org.opencb.cellbase.app.transform,GeneParserProto.new Comparator() {...},23,0,2,0,4,0,3,0,2,0
cellbase-app,org.opencb.cellbase.app.transform,RepeatsParser,117,321,21,15,6,52,15,14,0,11
cellbase-app,org.opencb.cellbase.app.transform,InteractionParser,33,0,0,0,10,0,2,0,2,0
cellbase-app,org.opencb.cellbase.app.transform,VariationPhenotypeAnnotationParser,738,0,70,0,150,0,46,0,6,0
cellbase-app,org.opencb.cellbase.app.transform,GeneExpressionAtlasParser,197,0,14,0,46,0,11,0,4,0
cellbase-app,org.opencb.cellbase.app.transform,ProteinParser.new FilenameFilter() {...},18,0,4,0,2,0,4,0,2,0
cellbase-app,org.opencb.cellbase.app.transform,RegulatoryRegionParser,929,767,102,33,175,134,84,21,14,11
cellbase-app,org.opencb.cellbase.app.transform,DisgenetParser,380,0,20,0,70,0,16,0,6,0
cellbase-app,org.opencb.cellbase.app.transform,GeneParserUtils,626,230,77,25,96,45,49,12,2,8
cellbase-app,org.opencb.cellbase.app.transform,ConservationParser,652,0,36,0,114,0,24,0,6,0
cellbase-app,org.opencb.cellbase.app.transform,GeneParser,899,2010,111,155,168,341,81,87,8,27
cellbase-app,org.opencb.cellbase.app.transform,Main,30,0,0,0,10,0,2,0,2,0
cellbase-app,org.opencb.cellbase.app.transform,CellBaseParser,13,16,0,0,2,7,0,2,0,2
cellbase-app,org.opencb.cellbase.app.transform,GeneParserProto,2910,0,252,0,558,0,156,0,30,0
cellbase-app,org.opencb.cellbase.app.transform,DgvParser,199,484,39,27,22,83,31,17,0,8
cellbase-app,org.opencb.cellbase.app.transform,ProteinParser,374,0,42,0,75,0,24,0,3,0
cellbase-app,org.opencb.cellbase.app.transform,CaddAllAnnotationParser,9,288,3,17,3,51,3,12,0,5
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,CellBaseWSVariantAnnotator,262,0,28,0,50,0,20,0,6,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,VariationDataReader,149,0,20,0,35,0,18,0,8,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,VcfStringAnnotatorTask,446,0,42,0,92,0,31,0,10,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,VcfStringAnnotatorTask.SharedContext,21,0,0,0,6,0,3,0,3,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,BenchmarkDataWriter,1915,0,54,0,260,0,42,0,15,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,VcfVariantAnnotator,22,238,9,23,9,58,9,14,0,7
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,CellBaseLocalVariantAnnotator,0,33,0,0,0,11,0,4,0,4
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,BenchmarkTask,332,0,36,0,71,0,29,0,11,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,VariantAnnotationDiff,30,0,2,0,10,0,7,0,6,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,PopulationFrequenciesAnnotator,29,193,5,13,13,50,5,11,0,7
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,JsonStringAnnotatorTask,244,0,34,0,53,0,25,0,8,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,SequenceOntologyTermComparisonObject,182,0,50,0,47,0,36,0,11,0
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation,VariantAnnotatorTask,0,92,1,9,0,23,1,9,0,5
cellbase-app,org.opencb.cellbase.app.cli,PostLoadCommandExecutor,155,0,14,0,32,0,12,0,5,0
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.PostLoadCommandOptions,0,17,0,0,0,5,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,VariantAnnotationCommandExecutor.FileFormat,5,53,0,0,0,1,1,3,1,3
cellbase-app,org.opencb.cellbase.app.cli,BuildCommandExecutor,1534,0,134,0,240,0,108,0,26,0
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.QueryCommandOptions,0,25,0,0,0,7,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.CommonCommandOptions,0,9,0,0,0,2,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.LoadCommandOptions,0,22,0,0,0,6,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,EtlCommons,140,73,13,9,25,19,11,5,3,2
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.BuildCommandOptions,0,26,0,0,0,8,0,1,0,1
