GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cellbase-client,org.opencb.cellbase.client.rest.models,GroupByFields,19,7,0,0,8,4,4,2,4,2
cellbase-client,org.opencb.cellbase.client.rest.models,GroupCount,19,7,0,0,8,4,4,2,4,2
cellbase-client,org.opencb.cellbase.client.rest,ProteinClient,7,22,0,0,1,6,1,2,1,2
cellbase-client,org.opencb.cellbase.client.rest,GenericClient,0,67,0,2,0,19,0,5,0,4
cellbase-client,org.opencb.cellbase.client.rest,MetaClient,0,74,0,0,0,16,0,7,0,7
cellbase-client,org.opencb.cellbase.client.rest,GenomicRegionClient,0,71,0,0,0,13,0,9,0,9
cellbase-client,org.opencb.cellbase.client.rest,ClinicalVariantClient,0,78,0,0,0,11,0,7,0,7
cellbase-client,org.opencb.cellbase.client.rest,VariationClient,35,31,0,0,5,7,5,3,5,3
cellbase-client,org.opencb.cellbase.client.rest,FeatureClient,8,28,0,0,1,5,1,4,1,4
cellbase-client,org.opencb.cellbase.client.rest,ParentRestClient,396,478,36,44,62,97,27,31,2,16
cellbase-client,org.opencb.cellbase.client.rest,TranscriptClient,14,36,0,0,2,8,2,4,2,4
cellbase-client,org.opencb.cellbase.client.rest,GeneClient,0,61,0,0,0,11,0,7,0,7
cellbase-client,org.opencb.cellbase.client.rest,ParentRestClient.new Object() {...},19,0,0,0,1,0,1,0,1,0
cellbase-client,org.opencb.cellbase.client.rest,CellBaseClient,61,221,6,8,14,25,11,24,5,23
cellbase-client,org.opencb.cellbase.client.rest,VariantClient,221,186,26,38,47,45,26,19,8,5
cellbase-client,org.opencb.cellbase.client.rest.models.mixin,DrugResponseClassificationMixIn.Deserializer,13,3,2,0,6,1,2,1,1,1
cellbase-client,org.opencb.cellbase.client.grpc,RegulatoryGrpcClient,61,0,0,0,13,0,5,0,5,0
cellbase-client,org.opencb.cellbase.client.grpc,VariantAnnotationGrpcClient,32,0,0,0,7,0,3,0,3,0
cellbase-client,org.opencb.cellbase.client.grpc,TranscriptGrpcClient,73,0,0,0,15,0,6,0,6,0
cellbase-client,org.opencb.cellbase.client.grpc,GeneGrpcClient,118,0,0,0,25,0,8,0,8,0
cellbase-client,org.opencb.cellbase.client.grpc,GenomicRegionGrpcClient,44,0,0,0,10,0,5,0,5,0
cellbase-client,org.opencb.cellbase.client.grpc,ParentGrpcClient,19,0,0,0,10,0,2,0,2,0
cellbase-client,org.opencb.cellbase.client.grpc,VariationGrpcClient,61,0,0,0,13,0,5,0,5,0
cellbase-client,org.opencb.cellbase.client.grpc,CellbaseGrpcClient,112,0,0,0,18,0,7,0,7,0
cellbase-client,org.opencb.cellbase.client.config,GrpcConfig,0,17,0,0,0,8,0,4,0,4
cellbase-client,org.opencb.cellbase.client.config,ClientConfiguration,25,160,9,3,3,37,7,17,0,17
cellbase-client,org.opencb.cellbase.client.config,RestConfig,0,54,0,0,0,17,0,7,0,7
