GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel,101,0,0,0,18,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceGrpc,113,0,0,0,35,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceModel,48,0,0,0,16,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceModel,48,0,0,0,16,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceGrpc.VariantAnnotationServiceImplBase,31,0,0,0,11,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceGrpc,113,0,0,0,35,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceGrpc.VariantAnnotationServiceStub,35,0,0,0,11,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceGrpc.VariantAnnotationServiceBlockingStub,31,0,0,0,9,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel.Request.Builder,716,0,82,0,208,0,102,0,60,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceGrpc.MethodHandlers,66,0,7,0,21,0,9,0,3,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceGrpc.TranscriptServiceStub,85,0,0,0,26,0,10,0,10,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceModel,64,0,0,0,20,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceGrpc.VariantServiceFutureStub,60,0,0,0,15,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceGrpc.VariantServiceImplBase,79,0,0,0,27,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceGrpc.GeneServiceStub,105,0,0,0,32,0,12,0,12,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceGrpc.GenomicRegionServiceFutureStub,24,0,0,0,7,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceGrpc.GeneServiceImplBase,115,0,0,0,39,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceGrpc.MethodHandlers,66,0,7,0,21,0,9,0,3,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceGrpc.VariantServiceStub,75,0,0,0,23,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel.Request.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceGrpc.GeneServiceFutureStub,60,0,0,0,15,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceGrpc.MethodHandlers,66,0,7,0,21,0,9,0,3,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceGrpc.GenomicRegionServiceBlockingStub,64,0,0,0,17,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceModel,52,0,0,0,16,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceGrpc.TranscriptServiceFutureStub,69,0,0,0,17,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceGrpc.VariantAnnotationServiceFutureStub,15,0,0,0,5,0,3,0,3,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceGrpc.GenomicRegionServiceStub,75,0,0,0,23,0,9,0,9,0
